date;type;value
2021-12-04 01:30:00;waterTemp;5.7333388
2021-12-04 01:45:00;waterTemp;5.8326988
2021-12-04 02:00:00;waterTemp;5.9661279
2021-12-04 02:15:00;waterTemp;6.0654874
2021-12-04 02:30:00;waterTemp;6.1654768
2021-12-04 02:45:00;waterTemp;6.2988043
2021-12-04 03:00:00;waterTemp;6.3987923
2021-12-04 03:15:00;waterTemp;6.5302086
2021-12-04 03:30:00;waterTemp;6.6647491
2021-12-04 03:45:00;waterTemp;6.8291168
2021-12-04 04:00:00;waterTemp;7.0287323
2021-12-04 04:15:00;waterTemp;7.1643534
2021-12-04 04:30:00;waterTemp;7.3286943
2021-12-04 04:45:00;waterTemp;7.4637442
2021-12-04 05:00:00;waterTemp;7.597075
2021-12-04 05:15:00;waterTemp;7.6969595
2021-12-04 05:30:00;waterTemp;7.7965927
2021-12-04 05:45:00;waterTemp;7.8965745
2021-12-04 06:00:00;waterTemp;7.9000001
2021-12-04 06:15:00;waterTemp;7.9959245
2021-12-04 06:30:00;waterTemp;8.0288057
2021-12-04 06:45:00;waterTemp;8.1287947
2021-12-04 07:00:00;waterTemp;8.1999998
2021-12-04 07:15:00;waterTemp;8.2610426
2021-12-04 07:30:00;waterTemp;8.3000002
2021-12-04 07:45:00;waterTemp;8.3610258
2021-12-04 08:00:00;waterTemp;7.8741059
2021-12-04 08:15:00;waterTemp;6.2169757
2021-12-04 08:30:00;waterTemp;6.1999998
2021-12-04 08:45:00;waterTemp;6.1999998
2021-12-04 09:00:00;waterTemp;6.2599325
2021-12-04 09:15:00;waterTemp;6.2666636
2021-12-04 09:30:00;waterTemp;6.2666602
2021-12-04 09:45:00;waterTemp;6.3000002
2021-12-04 10:00:00;waterTemp;6.3258419
2021-12-04 10:15:00;waterTemp;6.3663149
2021-12-04 10:30:00;waterTemp;6.4000001
2021-12-04 10:45:00;waterTemp;6.4000001
2021-12-04 11:00:00;waterTemp;6.4587846
2021-12-04 11:15:00;waterTemp;6.822526
2021-12-04 11:30:00;waterTemp;7.1730947
2021-12-04 11:45:00;waterTemp;7.4730582
2021-12-04 12:00:00;waterTemp;7.7730241
2021-12-04 12:15:00;waterTemp;8.070859
2021-12-04 12:30:00;waterTemp;8.3697529
2021-12-04 12:45:00;waterTemp;8.6697063
2021-12-04 13:00:00;waterTemp;8.3794031
2021-12-04 13:15:00;waterTemp;6.6101356
2021-12-04 13:30:00;waterTemp;6.5999999
2021-12-04 13:45:00;waterTemp;6.5999999
2021-12-04 14:00:00;waterTemp;6.5999999
2021-12-04 14:15:00;waterTemp;6.5999999
2021-12-04 14:30:00;waterTemp;6.5999999
2021-12-04 14:45:00;waterTemp;6.5999999
2021-12-04 15:00:00;waterTemp;6.5999999
2021-12-04 15:15:00;waterTemp;6.5999999
2021-12-04 15:30:00;waterTemp;6.5999999
2021-12-04 15:45:00;waterTemp;6.5999999
2021-12-04 16:00:00;waterTemp;6.5999999
2021-12-04 16:15:00;waterTemp;6.5666656
2021-12-04 16:30:00;waterTemp;6.5666609
2021-12-04 16:45:00;waterTemp;6.5666604
2021-12-04 17:00:00;waterTemp;6.5809608
2021-12-04 17:15:00;waterTemp;6.3621464
2021-12-04 17:30:00;waterTemp;6.1623759
2021-12-04 17:45:00;waterTemp;5.9624033
2021-12-04 18:00:00;waterTemp;5.8478842
2021-12-03 18:30:00;airTemp;6.7333283
2021-12-03 18:45:00;airTemp;6.8000002
2021-12-03 19:00:00;airTemp;6.8000002
2021-12-03 19:15:00;airTemp;6.8000002
2021-12-03 19:30:00;airTemp;6.8721514
2021-12-03 19:45:00;airTemp;6.9000001
2021-12-03 20:00:00;airTemp;6.9000001
2021-12-03 20:15:00;airTemp;6.9710488
2021-12-03 20:30:00;airTemp;6.9289627
2021-12-03 20:45:00;airTemp;6.9376855
2021-12-03 21:00:00;airTemp;7.0376511
2021-12-03 21:15:00;airTemp;7.1365981
2021-12-03 21:30:00;airTemp;7.1666665
2021-12-03 21:45:00;airTemp;7.1999998
2021-12-03 22:00:00;airTemp;7.3064728
2021-12-03 22:15:00;airTemp;7.5071692
2021-12-03 22:30:00;airTemp;7.7376313
2021-12-03 22:45:00;airTemp;8.0064249
2021-12-03 23:00:00;airTemp;8.2375927
2021-12-03 23:15:00;airTemp;8.5042496
2021-12-03 23:30:00;airTemp;8.7033901
2021-12-03 23:45:00;airTemp;9.0020952
2021-12-04 00:00:00;airTemp;9.2020712
2021-12-04 00:15:00;airTemp;9.3687134
2021-12-04 00:30:00;airTemp;9.4927711
2021-12-04 00:45:00;airTemp;9.6740274
2021-12-04 01:00:00;airTemp;9.9331245
2021-12-04 01:15:00;airTemp;10.099835
2021-12-04 01:30:00;airTemp;10.266576
2021-12-04 01:45:00;airTemp;10.498854
2021-12-04 02:00:00;airTemp;10.731913
2021-12-04 02:15:00;airTemp;10.9646
2021-12-04 02:30:00;airTemp;11.196451
2021-12-04 02:45:00;airTemp;11.365476
2021-12-04 03:00:00;airTemp;11.530924
2021-12-04 03:15:00;airTemp;11.696566
2021-12-04 03:30:00;airTemp;11.831419
2021-12-04 03:45:00;airTemp;12.029129
2021-12-04 04:00:00;airTemp;12.228745
2021-12-04 04:15:00;airTemp;12.331026
2021-12-04 04:30:00;airTemp;12.49769
2021-12-04 04:45:00;airTemp;12.594167
2021-12-04 05:00:00;airTemp;12.7
2021-12-04 05:15:00;airTemp;12.729936
2021-12-04 05:30:00;airTemp;12.829916
2021-12-04 05:45:00;airTemp;12.929909
2021-12-04 06:00:00;airTemp;13.0
2021-12-04 06:15:00;airTemp;13.028822
2021-12-04 06:30:00;airTemp;13.066664
2021-12-04 06:45:00;airTemp;13.1
2021-12-04 07:00:00;airTemp;13.167417
2021-12-04 07:15:00;airTemp;13.194712
2021-12-04 07:30:00;airTemp;13.26104
2021-12-04 07:45:00;airTemp;13.266665
2021-12-04 08:00:00;airTemp;13.327685
2021-12-04 08:15:00;airTemp;13.332545
2021-12-04 08:30:00;airTemp;13.4
2021-12-04 08:45:00;airTemp;13.520081
2021-12-04 09:00:00;airTemp;13.566576
2021-12-04 09:15:00;airTemp;13.659925
2021-12-04 09:30:00;airTemp;13.759909
2021-12-04 09:45:00;airTemp;13.859411
2021-12-04 10:00:00;airTemp;13.925848
2021-12-04 10:15:00;airTemp;14.058827
2021-12-04 10:30:00;airTemp;14.158815
2021-12-04 10:45:00;airTemp;14.225464
2021-12-04 11:00:00;airTemp;14.266661
2021-12-04 11:15:00;airTemp;14.3
2021-12-04 11:30:00;airTemp;14.324367
2021-12-04 11:45:00;airTemp;14.515386
2021-12-04 12:00:00;airTemp;14.897405
2021-12-04 12:15:00;airTemp;15.318489
2021-12-04 12:30:00;airTemp;15.81629
2021-12-04 12:45:00;airTemp;16.089914
2021-12-04 13:00:00;airTemp;15.907129
2021-12-04 13:15:00;airTemp;15.36292
2021-12-04 13:30:00;airTemp;14.709747
2021-12-04 13:45:00;airTemp;14.122235
2021-12-04 14:00:00;airTemp;13.644739
2021-12-04 14:15:00;airTemp;13.255999
2021-12-04 14:30:00;airTemp;12.74555
2021-12-04 14:45:00;airTemp;12.436506
2021-12-04 15:00:00;airTemp;12.136883
2021-12-04 15:15:00;airTemp;11.803572
2021-12-04 15:30:00;airTemp;11.449248
2021-12-04 15:45:00;airTemp;11.138515
2021-12-04 16:00:00;airTemp;10.839742
2021-12-04 16:15:00;airTemp;10.540213
2021-12-04 16:30:00;airTemp;10.186986
2021-12-04 16:45:00;airTemp;9.7671261
2021-12-04 17:00:00;airTemp;9.2030611
2021-12-04 17:15:00;airTemp;8.8433094
2021-12-04 17:30:00;airTemp;8.6290359
2021-12-04 17:45:00;airTemp;8.5
2021-12-04 18:00:00;airTemp;8.5
2021-12-04 18:15:00;waterTemp;5.7484794
2021-12-04 18:30:00;waterTemp;5.6151729
2021-12-04 18:45:00;waterTemp;5.5489569
2021-12-04 19:00:00;waterTemp;5.4489756
2021-12-04 19:15:00;waterTemp;5.3489861
2021-12-04 19:30:00;waterTemp;5.215661
2021-12-04 19:45:00;waterTemp;5.1999998
2021-12-04 20:00:00;waterTemp;5.1330562
2021-12-04 20:15:00;waterTemp;5.1500735
2021-12-04 20:30:00;waterTemp;5.183249
2021-12-04 20:45:00;waterTemp;5.2165651
2021-12-04 21:00:00;waterTemp;5.2665434
2021-12-04 21:15:00;waterTemp;5.3000002
2021-12-04 21:30:00;waterTemp;5.348835
2021-12-04 21:45:00;waterTemp;5.366662
2021-12-04 22:00:00;waterTemp;5.3178515
2021-12-04 22:15:00;waterTemp;5.3000002
2021-12-04 22:30:00;waterTemp;5.2178755
2021-12-04 22:45:00;waterTemp;5.1999998
2021-12-04 23:00:00;waterTemp;5.1189537
2021-12-04 23:15:00;waterTemp;5.0856366
2021-12-04 23:30:00;waterTemp;5.06668
2021-12-04 23:45:00;waterTemp;5.0
2021-12-05 00:00:00;waterTemp;5.0
2021-12-05 00:15:00;waterTemp;5.0
2021-12-05 00:30:00;waterTemp;4.9735379
2021-12-05 00:45:00;waterTemp;4.8919773
2021-12-05 01:00:00;waterTemp;4.9082708
2021-12-05 01:15:00;waterTemp;4.8666749
2021-12-04 18:15:00;airTemp;8.4480715
2021-12-04 18:30:00;airTemp;8.3487835
2021-12-04 18:45:00;airTemp;8.24895
2021-12-04 19:00:00;airTemp;8.1156235
2021-12-04 19:15:00;airTemp;8.03333
2021-12-04 19:30:00;airTemp;8.1000004
2021-12-04 19:45:00;airTemp;8.1000004
2021-12-04 20:00:00;airTemp;8.1166964
2021-12-04 20:15:00;airTemp;8.1666622
2021-12-04 20:30:00;airTemp;8.1999998
2021-12-04 20:45:00;airTemp;8.1666622
2021-12-04 21:00:00;airTemp;8.116765
2021-12-04 21:15:00;airTemp;8.1000004
2021-12-04 21:30:00;airTemp;8.0178204
2021-12-04 21:45:00;airTemp;7.9023452
2021-12-04 22:00:00;airTemp;7.7023673
2021-12-04 22:15:00;airTemp;7.5023918
2021-12-04 22:30:00;airTemp;7.4000001
2021-12-04 22:45:00;airTemp;7.3186312
2021-12-04 23:00:00;airTemp;7.1712303
2021-12-04 23:15:00;airTemp;7.018959
2021-12-04 23:30:00;airTemp;6.9856491
2021-12-04 23:45:00;airTemp;6.9000001
2021-12-05 00:00:00;airTemp;6.9000001
2021-12-05 00:15:00;airTemp;6.8401537
2021-12-05 00:30:00;airTemp;6.7201018
2021-12-05 00:45:00;airTemp;6.6459951
2021-12-05 01:00:00;airTemp;6.6666656
2021-12-05 01:15:00;airTemp;6.6999998
2021-12-05 02:45:00;waterTemp;5.0999999
2021-12-05 03:00:00;waterTemp;5.0999999
2021-12-05 03:15:00;waterTemp;5.0999999
2021-12-05 03:30:00;waterTemp;5.1101713
2021-12-05 03:45:00;waterTemp;5.1666651
2021-12-05 04:00:00;waterTemp;5.1567669
2021-12-05 04:15:00;waterTemp;5.1761303
2021-12-05 04:30:00;waterTemp;5.1666627
2021-12-05 04:45:00;waterTemp;5.1666636
2021-12-05 05:00:00;waterTemp;5.1578603
2021-12-05 05:15:00;waterTemp;5.0999999
2021-12-05 05:30:00;waterTemp;5.0999999
2021-12-05 05:45:00;waterTemp;5.0999999
2021-12-05 06:00:00;waterTemp;5.0666618
2021-12-05 06:15:00;waterTemp;5.0666618
