date;CE_NCC_0 Arrêt;CE_NCC_1 Marche ;CE_chauffage_-1 Arrêt Sécurité;CE_chauffage_-2 Arrêt Manuel OFF;CE_chauffage_1 Marche AUTO;CE_electrolyseur_-5 Arrêt pas de flux;CE_electrolyseur_0 Arrêt;CE_electrolyseur_1 Marche 100%;CE_filtration_-3 Arrêt pause filtration;CE_filtration_0 Arrêt AUTO;CE_filtration_1 Marche AUTO;CE_filtration_3 Marche mode baignade;CE_filtration_5 Marche hivernage;CE_hivernage_0 Arret;CE_hivernage_2 Actif activé;CE_pompe_chauff_-1 Arrêt Sécurité;CE_pompe_chauff_0 Arrêt AUTO;CE_pompe_chauff_1 Marche AUTO;CE_trait_PH_-5 Arrêt pas de flux chambre analyse;CE_trait_PH_0 Arrêt AUTO;CE_trait_PH_2 En cours pompe active;CE_volet_0 Position ouvert;CE_volet_1 position fermé;airTemp;waterTemp
2022-06-02 09:52:00;1;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;26.092266;23.799999
2022-06-02 09:54:00;1;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;26.092266;23.799999
2022-06-02 09:56:00;1;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;26.092266;23.799999
2022-06-02 09:58:00;1;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;26.092266;23.799999
2022-06-02 10:00:00;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;26.5439;23.799999
2022-06-02 10:02:00;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;26.5439;23.799999
2022-06-02 10:04:00;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;26.5439;23.799999
2022-06-02 10:06:00;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;26.5439;23.799999
2022-06-02 10:08:00;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;26.5439;23.799999
2022-06-02 10:10:00;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;26.5439;23.799999
2022-06-02 10:12:00;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;26.5439;23.799999
2022-06-02 10:14:00;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;27.247335;23.681581
2022-06-02 10:16:00;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;27.247335;23.681581
2022-06-02 10:18:00;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;27.247335;23.681581
2022-06-02 10:20:00;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;27.247335;23.681581
2022-06-02 10:22:00;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;27.247335;23.681581
2022-06-02 10:24:00;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;27.247335;23.681581
2022-06-02 10:26:00;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;27.247335;23.681581
2022-06-02 10:28:00;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;27.247335;23.681581
2022-06-02 10:30:00;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;28.42091;23.836809
2022-06-02 10:32:00;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;28.42091;23.836809
2022-06-02 10:34:00;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;28.42091;23.836809
2022-06-02 10:36:00;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;28.42091;23.836809
2022-06-02 10:38:00;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;28.42091;23.836809
2022-06-02 10:40:00;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;28.42091;23.836809
2022-06-02 10:42:00;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;28.42091;23.836809
2022-06-02 10:44:00;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;29.210011;23.918264
2022-06-02 10:46:00;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;29.210011;23.918264
2022-06-02 10:48:00;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;29.210011;23.918264
2022-06-02 10:50:00;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;29.210011;23.918264
2022-06-02 10:52:00;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;29.210011;23.918264
2022-06-02 10:54:00;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;29.210011;23.918264
2022-06-02 10:56:00;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;29.210011;23.918264
2022-06-02 10:58:00;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;29.210011;23.918264
2022-06-02 11:00:00;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;29.9125;24.018183
2022-06-02 11:02:00;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;29.9125;24.018183
2022-06-02 11:04:00;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;29.9125;24.018183
2022-06-02 11:06:00;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;29.9125;24.018183
2022-06-02 11:08:00;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;29.9125;24.018183
2022-06-02 11:10:00;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;29.9125;24.018183
2022-06-02 11:12:00;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;29.9125;24.018183
2022-06-02 11:14:00;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;30.521017;24.1
2022-06-02 11:16:00;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;30.521017;24.1
2022-06-02 11:18:00;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;30.521017;24.1
2022-06-02 11:20:00;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;30.521017;24.1
2022-06-02 11:22:00;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;30.521017;24.1
