date;Evènement;Etat
2021-12-16 11:00:00;Changement état du traitement PH;-3 Arrêt pas de pompe allumée
2021-12-16 14:00:00;Changement d’état de la filtration;1 Marche AUTO
2021-12-16 14:00:00;Changement état du traitement PH;-6 Arrêt température trop basse
2021-12-16 15:00:00;Changement d’état de la filtration;0 Arrêt AUTO
2021-12-16 15:00:00;Changement état du traitement PH;-3 Arrêt pas de pompe allumée
2021-12-17 10:00:00;Changement d’état de la filtration;1 Marche AUTO
2021-12-17 10:00:00;Changement état du traitement PH;-6 Arrêt température trop basse
2021-12-17 11:00:00;Changement d’état de la filtration;0 Arrêt AUTO
2021-12-17 11:00:00;Changement état du traitement PH;-3 Arrêt pas de pompe allumée
2021-12-17 14:00:00;Changement d’état de la filtration;1 Marche AUTO
2021-12-17 14:00:00;Changement état du traitement PH;-6 Arrêt température trop basse
2021-12-17 15:00:00;Changement d’état de la filtration;0 Arrêt AUTO
2021-12-17 15:00:00;Changement état du traitement PH;-3 Arrêt pas de pompe allumée
2021-12-18 05:36:38;Changement d’état de la filtration;5 Marche hivernage
2021-12-18 05:36:38;Changement état de hivernage;4 inconnu
2021-12-18 05:36:38;Changement état du traitement PH;-6 Arrêt température trop basse
2021-12-18 05:38:00;Changement d’état de la filtration;0 Arrêt AUTO
2021-12-18 05:38:00;Changement état de hivernage;3 inconnu
2021-12-18 05:38:00;Changement état du traitement PH;-3 Arrêt pas de pompe allumée
2021-12-18 06:23:00;Changement d’état de la filtration;5 Marche hivernage
2021-12-18 06:23:00;Changement état de hivernage;4 inconnu
2021-12-18 06:23:00;Changement état du traitement PH;-6 Arrêt température trop basse
2021-12-18 06:38:00;Changement d’état de la filtration;0 Arrêt AUTO
2021-12-18 06:38:00;Changement état de hivernage;3 inconnu
2021-12-18 06:38:00;Changement état du traitement PH;-3 Arrêt pas de pompe allumée
2021-12-18 07:23:00;Changement d’état de la filtration;5 Marche hivernage
2021-12-18 07:23:00;Changement état de hivernage;4 inconnu
2021-12-18 07:23:00;Changement état du traitement PH;-6 Arrêt température trop basse
2021-12-18 07:38:00;Changement d’état de la filtration;0 Arrêt AUTO
2021-12-18 07:38:00;Changement état de hivernage;3 inconnu
2021-12-18 07:38:00;Changement état du traitement PH;-3 Arrêt pas de pompe allumée
2021-12-18 08:23:00;Changement d’état de la filtration;5 Marche hivernage
2021-12-18 08:23:00;Changement état de hivernage;4 inconnu
2021-12-18 08:23:00;Changement état du traitement PH;-6 Arrêt température trop basse
2021-12-18 08:38:00;Changement d’état de la filtration;0 Arrêt AUTO
2021-12-18 08:38:00;Changement état de hivernage;3 inconnu
2021-12-18 08:38:00;Changement état du traitement PH;-3 Arrêt pas de pompe allumée
2021-12-18 09:23:00;Changement d’état de la filtration;5 Marche hivernage
2021-12-18 09:23:00;Changement état de hivernage;4 inconnu
2021-12-18 09:23:00;Changement état du traitement PH;-6 Arrêt température trop basse
2021-12-18 09:29:08;Changement d’état de la filtration;0 Arrêt AUTO
2021-12-18 09:29:08;Changement état de hivernage;2 Actif activé
2021-12-18 09:29:08;Changement état du traitement PH;-3 Arrêt pas de pompe allumée
2021-12-18 10:00:00;Changement d’état de la filtration;1 Marche AUTO
2021-12-18 10:00:00;Changement état du traitement PH;-6 Arrêt température trop basse
2021-12-18 11:00:00;Changement d’état de la filtration;0 Arrêt AUTO
2021-12-18 11:00:00;Changement état du traitement PH;-3 Arrêt pas de pompe allumée
2021-12-18 14:00:00;Changement d’état de la filtration;1 Marche AUTO
2021-12-18 14:00:00;Changement état du traitement PH;-6 Arrêt température trop basse
2021-12-18 15:00:00;Changement d’état de la filtration;0 Arrêt AUTO
2021-12-18 15:00:00;Changement état du traitement PH;-3 Arrêt pas de pompe allumée
2021-12-19 10:00:00;Changement d’état de la filtration;1 Marche AUTO
2021-12-19 10:00:00;Changement état du traitement PH;-6 Arrêt température trop basse
2021-12-19 11:00:00;Changement d’état de la filtration;0 Arrêt AUTO
2021-12-19 11:00:00;Changement état du traitement PH;-3 Arrêt pas de pompe allumée
2021-12-19 14:00:00;Changement d’état de la filtration;1 Marche AUTO
2021-12-19 14:00:00;Changement état du traitement PH;-6 Arrêt température trop basse
2021-12-19 15:00:00;Changement d’état de la filtration;0 Arrêt AUTO
2021-12-19 15:00:00;Changement état du traitement PH;-3 Arrêt pas de pompe allumée
2021-12-20 10:00:00;Changement d’état de la filtration;1 Marche AUTO
2021-12-20 10:00:00;Changement état du traitement PH;-6 Arrêt température trop basse
2021-12-20 11:00:00;Changement d’état de la filtration;0 Arrêt AUTO
2021-12-20 11:00:00;Changement état du traitement PH;-3 Arrêt pas de pompe allumée
2021-12-20 14:00:00;Changement d’état de la filtration;1 Marche AUTO
2021-12-20 14:00:00;Changement état du traitement PH;-6 Arrêt température trop basse
2021-12-20 15:00:00;Changement d’état de la filtration;0 Arrêt AUTO
2021-12-20 15:00:00;Changement état du traitement PH;-3 Arrêt pas de pompe allumée
2021-12-20 22:34:53;Changement état de hivernage;4 inconnu
2021-12-20 22:34:53;Changement état du traitement PH;-6 Arrêt température trop basse
2021-12-20 22:34:54;Changement d’état de la filtration;5 Marche hivernage
2021-12-20 22:38:00;Changement d’état de la filtration;0 Arrêt AUTO
2021-12-20 22:38:00;Changement état de hivernage;3 inconnu
2021-12-20 22:38:00;Changement état du traitement PH;-3 Arrêt pas de pompe allumée
2021-12-20 23:23:00;Changement d’état de la filtration;5 Marche hivernage
2021-12-20 23:23:00;Changement état de hivernage;4 inconnu
2021-12-20 23:23:00;Changement état du traitement PH;-6 Arrêt température trop basse
2021-12-20 23:38:00;Changement d’état de la filtration;0 Arrêt AUTO
2021-12-20 23:38:00;Changement état de hivernage;3 inconnu
2021-12-20 23:38:00;Changement état du traitement PH;-3 Arrêt pas de pompe allumée
2021-12-21 00:23:00;Changement d’état de la filtration;5 Marche hivernage
2021-12-21 00:23:00;Changement état de hivernage;4 inconnu
2021-12-21 00:23:00;Changement état du traitement PH;-6 Arrêt température trop basse
2021-12-21 00:38:00;Changement d’état de la filtration;0 Arrêt AUTO
