date;CE_trait_PH_-5 Arrêt pas de flux chambre analyse;CE_trait_PH_0 Arrêt AUTO;CE_trait_PH_2 En cours pompe active;CE_chauffage_-1 Arrêt Sécurité;CE_chauffage_-2 Arrêt Manuel OFF;CE_chauffage_1 Marche AUTO;CE_NCC_0 Arrêt;CE_NCC_1 Marche ;CE_filtration_-3 Arrêt pause filtration;CE_filtration_0 Arrêt AUTO;CE_filtration_1 Marche AUTO;CE_filtration_3 Marche mode baignade;CE_electrolyseur_-5 Arrêt pas de flux;CE_electrolyseur_0 Arrêt;CE_electrolyseur_1 Marche 100%;CE_pompe_chauff_-1 Arrêt Sécurité;CE_pompe_chauff_0 Arrêt AUTO;CE_pompe_chauff_1 Marche AUTO;waterTemp;airTemp
2022-07-06 21:50:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;22.831242;23.008299
2022-07-06 21:52:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;22.831242;23.008299
2022-07-06 21:54:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;22.831242;23.008299
2022-07-06 21:56:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;22.831242;23.008299
2022-07-06 21:58:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;22.831242;23.008299
2022-07-06 22:00:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;22.497936;22.631252
2022-07-06 22:02:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;22.497936;22.631252
2022-07-06 22:04:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;22.497936;22.631252
2022-07-06 22:06:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;22.497936;22.631252
2022-07-06 22:08:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;22.497936;22.631252
2022-07-06 22:10:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;22.497936;22.631252
2022-07-06 22:12:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;22.497936;22.631252
2022-07-06 22:14:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;22.141727;22.420855
2022-07-06 22:16:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;22.141727;22.420855
2022-07-06 22:18:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;22.141727;22.420855
2022-07-06 22:20:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;22.141727;22.420855
2022-07-06 22:22:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;22.141727;22.420855
2022-07-06 22:24:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;22.141727;22.420855
2022-07-06 22:26:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;22.141727;22.420855
2022-07-06 22:28:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;22.141727;22.420855
2022-07-06 22:30:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;21.808456;22.131317
2022-07-06 22:32:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;21.808456;22.131317
2022-07-06 22:34:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;21.808456;22.131317
2022-07-06 22:36:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;21.808456;22.131317
2022-07-06 22:38:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;21.808456;22.131317
2022-07-06 22:40:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;21.808456;22.131317
2022-07-06 22:42:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;21.808456;22.131317
2022-07-06 22:44:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;21.431597;21.775455
2022-07-06 22:46:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;21.431597;21.775455
2022-07-06 22:48:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;21.431597;21.775455
2022-07-06 22:50:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;21.431597;21.775455
2022-07-06 22:52:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;21.431597;21.775455
2022-07-06 22:54:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;21.431597;21.775455
2022-07-06 22:56:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;21.431597;21.775455
2022-07-06 22:58:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;21.431597;21.775455
2022-07-06 23:00:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;21.131748;21.487812
2022-07-06 23:02:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;21.131748;21.487812
2022-07-06 23:04:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;21.131748;21.487812
2022-07-06 23:06:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;21.131748;21.487812
2022-07-06 23:08:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;21.131748;21.487812
2022-07-06 23:10:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;21.131748;21.487812
2022-07-06 23:12:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;21.131748;21.487812
2022-07-06 23:14:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;20.742517;21.231874
2022-07-06 23:16:00;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;20.742517;21.231874
